time(s),raw_intensity,transmitted_intensity,polarization_angle(deg),gw_metric_factor,epsilon(J/m^3),pressure(J/m^3),spin_density
0.00000000000000048804712,1,0.000000000000000000000000000000003749399456654644,180,1,3429899250501024000000000000000000,514525113758387540000000000000000,58565341717615070
0.00000000000000049359311,1,0.000000000000000000000000000000003749399456654644,180,1,3298806087557631500000000000000000,494859098003052040000000000000000,57435233851335816
0.0000000000000004991391,1,0.000000000000000000000000000000003749399456654644,180,1,3174785406062578000000000000000000,476254107270391800000000000000000,56345234102473810
0.00000000000000050468509,1,0.000000000000000000000000000000003749399456654644,180,1,3057455645355383600000000000000000,458652894064630160000000000000000,55294264127080880
0.00000000000000051023108,1,0.000000000000000000000000000000003749399456654644,180,1,2946455829988648000000000000000000,442001300047624000000000000000000,54281265921021480
0.00000000000000051577707,1,0.000000000000000000000000000000003749399456654644,180,1,2841444459154978500000000000000000,426248089291111200000000000000000,53305201051632650
0.00000000000000052132306,1,0.000000000000000000000000000000003749399456654644,180,1,2742098456029360400000000000000000,411344790537511100000000000000000,52365049947740530
0.00000000000000052686905,1,0.000000000000000000000000000000003749399456654644,180,1,2648112173794571600000000000000000,397245547981365700000000000000000,51459811249115280
0.00000000000000053241504,1,0.000000000000000000000000000000003749399456654644,180,1,2559196455291554600000000000000000,383906980110131300000000000000000,50588501216102010
0.00000000000000053796103,1,0.000000000000000000000000000000003749399456654644,180,1,2475077743401688300000000000000000,371288046168178000000000000000000,49750153199781090
0.00000000000000054350702,1,0.000000000000000000000000000000003749399456654644,180,1,2395497239423977800000000000000000,359349919831600440000000000000000,48943817172590630
0.00000000000000054905301,1,0.000000000000000000000000000000003749399456654644,180,1,2320210106857826000000000000000000,348055869703859700000000000000000,48168559318894170
0.000000000000000554599,1,0.000000000000000000000000000000003749399456654644,180,1,2248984718141754000000000000000000,337371146263473300000000000000000,47423461684505420
0.00000000000000056014499,1,0.000000000000000000000000000000003749399456654644,180,1,2181601942030602700000000000000000,327262874914981650000000000000000,46707621883699060
0.00000000000000056569097999999995,1,0.000000000000000000000000000000003749399456654644,180,1,2117854469418761200000000000000000,317699954813342700000000000000000,46020152861749176
0.0000000000000005712369699999999,1,0.000000000000000000000000000000003749399456654644,180,1,2057546175535259500000000000000000,308652963149786700000000000000000,45360182710558600
0.0000000000000005767829599999999,1,0.000000000000000000000000000000003749399456654644,180,1,2000491516548464000000000000000000,300094064604066860000000000000000,44726854534479220
0.00000000000000058232895,1,0.000000000000000000000000000000003749399456654644,180,1,1946514958723966300000000000000000,291996925684020560000000000000000,44119326362989340
0.00000000000000058787494,1,0.000000000000000000000000000000003749399456654644,180,1,1895450438379439400000000000000000,284336633688467740000000000000000,43536771106496170
0.00000000000000059342093,1,0.000000000000000000000000000000003749399456654644,180,1,1847140850974939200000000000000000,277089620043753270000000000000000,42978376551179070
0.00000000000000059896692,1,0.000000000000000000000000000000003749399456654644,180,1,1801437567766812800000000000000000,270233587777751500000000000000000,42443345388491860
0.00000000000000060451291,1,0.000000000000000000000000000000003749399456654644,180,1,1758199978538144000000000000000000,263747442907924670000000000000000,41930895274703400
0.0000000000000006100589,1,0.000000000000000000000000000000003749399456654644,180,1,1717295058998914500000000000000000,257611229532105160000000000000000,41440258915683850
0.00000000000000061560489,1,0.000000000000000000000000000000003749399456654644,180,1,1678596961524936200000000000000000,251806068422096050000000000000000,40970684172038620
0.00000000000000062115088,1,0.000000000000000000000000000000003749399456654644,180,1,1641986627976441500000000000000000,246314098930989820000000000000000,40521434179659060
0.00000000000000062669687,1,0.000000000000000000000000000000003749399456654644,180,1,1607351423405123500000000000000000,241118424035322900000000000000000,40091787480793660
0.00000000000000063224286,1,0.000000000000000000000000000000003749399456654644,180,1,1574584789522696400000000000000000,236203058342849060000000000000000,39681038160848264
0.00000000000000063778885,1,0.000000000000000000000000000000003749399456654644,180,1,1543585916864843400000000000000000,231552878905856560000000000000000,39288495986291500
0.00000000000000064333484,1,0.000000000000000000000000000000003749399456654644,180,1,1514259434641926800000000000000000,227153578688598300000000000000000,38913486539269736
0.00000000000000064888083,1,0.000000000000000000000000000000003749399456654644,180,1,1486515117322272000000000000000000,222991622545588040000000000000000,38555351344816870
0.0000000000000006544268199999999,1,0.000000000000000000000000000000003749399456654644,180,1,1460267607045291600000000000000000,219054205575245530000000000000000,38213447986870950
0.0000000000000006599728099999999,1,0.000000000000000000000000000000003749399456654644,180,1,1435436151010432200000000000000000,215329213720696620000000000000000,37887150209674420
0.0000000000000006655188,1,0.000000000000000000000000000000003749399456654644,180,1,1411944353033999000000000000000000,211805186496452560000000000000000,37575848001528840
0.00000000000000067106479,1,0.000000000000000000000000000000003749399456654644,180,1,1389719938509503200000000000000000,208471281726243770000000000000000,37278947658289704
0.00000000000000067661078,1,0.000000000000000000000000000000003749399456654644,180,1,1368694532048399200000000000000000,205317242183473500000000000000000,36995871824413050
0.00000000000000068215677,1,0.000000000000000000000000000000003749399456654644,180,1,1348803447117123800000000000000000,202333364031620560000000000000000,36726059509796630
0.00000000000000068770276,1,0.000000000000000000000000000000003749399456654644,180,1,1329985487023217000000000000000000,199510466967458070000000000000000,36468966081083470
0.00000000000000069324875,1,0.000000000000000000000000000000003749399456654644,180,1,1312182756638255300000000000000000,196839865975202430000000000000000,36224063226510850
0.00000000000000069879474,1,0.000000000000000000000000000000003749399456654644,180,1,1295340484278338200000000000000000,194313344604663000000000000000000,35990838893784320
0.00000000000000070434073,1,0.000000000000000000000000000000003749399456654644,180,1,1279406853194128600000000000000000,191923129691158200000000000000000,35768797200830344
0.00000000000000070988672,1,0.000000000000000000000000000000003749399456654644,180,1,1264332842152013900000000000000000,189661867439399700000000000000000,35557458319627036
0.00000000000000071543271,1,0.000000000000000000000000000000003749399456654644,180,1,1250072074615919800000000000000000,187522600797746600000000000000000,35356358333628190
